Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.quiz_q1,Player.quiz_q2,Player.role_int,Player.seller_price0,Player.seller_price1,Player.seller_price2,Player.seller_price3,Player.seller_price4,Player.seller_price5,Player.seller_price6,Player.seller_price7,Player.seller_price8,Player.seller_price9,Player.seller_price10,Player.seller_price11,Player.seller_price12,Player.seller_price13,Player.seller_price14,Player.seller_price15,Player.seller_total_price,Player.sales,Player.earnings,Player.buyer_choice,Player.seller_selected,Player.price_paid,Player.identifier,Player.cum_profits,Player.clicks,Player.payoff,Group.id_in_subsession,Subsession.round_number,Subsession.num_prices,Subsession.sellers_per_group,Subsession.buyers_per_group,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,56,36,98,96,67,67,83,93,,,,,,,,,596,1,496,,,,2,,0,496,1,1,8,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,1,55,81,16,93,70,18,72,67,,,,,,,,,472,1,372,,,,1,,0,372,1,1,8,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,596,2,,0,204,1,1,8,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,472,1,,0,328,1,1,8,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,2,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,518,1,,0,282,1,2,8,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,4,0 tokens,0 tokens,1,55,79,84,53,71,67,82,27,,,,,,,,,518,1,418,,,,2,,0,418,1,2,8,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,513,2,,0,287,1,2,8,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,3,800 tokens,800 tokens,1,50,17,91,83,89,92,32,59,,,,,,,,,513,1,413,,,,1,,0,413,1,2,8,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,3,0 tokens,0 tokens,1,39,83,26,68,74,41,13,59,,,,,,,,,403,1,303,,,,1,,0,0,1,3,8,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,434,1,,0,0,1,3,8,2,2,iy91wufg,,,,,,,,0
