Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.quiz_q1,Player.quiz_q2,Player.role_int,Player.seller_price0,Player.seller_price1,Player.seller_price2,Player.seller_price3,Player.seller_price4,Player.seller_price5,Player.seller_price6,Player.seller_price7,Player.seller_price8,Player.seller_price9,Player.seller_price10,Player.seller_price11,Player.seller_price12,Player.seller_price13,Player.seller_price14,Player.seller_price15,Player.seller_total_price,Player.sales,Player.earnings,Player.buyer_choice,Player.seller_selected,Player.price_paid,Player.identifier,Player.cum_profits,Player.clicks,Player.payoff,Group.id_in_subsession,Subsession.round_number,Subsession.num_prices,Subsession.sellers_per_group,Subsession.buyers_per_group,Subsession.game_number,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,3,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,325,1,,0,0,3,1,8,2,2,1,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,1,800 tokens,800 tokens,1,34,6,11,23,44,65,50,92,,,,,,,,,325,2,450,,,,1,,0,0,3,1,8,2,2,1,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,4,800 tokens,800 tokens,1,53,16,23,73,8,76,15,13,,,,,,,,,277,1,177,,,,1,,0,0,1,1,8,2,2,1,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,2,0 tokens,0 tokens,1,72,100,90,69,75,70,47,45,,,,,,,,,568,0,0,,,,2,,0,0,3,1,8,2,2,1,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,445,1,,0,0,1,1,8,2,2,1,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,2,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,277,2,,0,0,1,1,8,2,2,1,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,3,800 tokens,800 tokens,1,57,63,100,19,12,67,83,37,,,,,,,,,438,1,338,,,,2,,0,0,2,1,8,2,2,1,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,438,2,,0,0,2,1,8,2,2,1,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,48,71,12,25,30,87,84,88,,,,,,,,,445,1,345,,,,2,,0,0,1,1,8,2,2,1,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,325,2,,0,0,3,1,8,2,2,1,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,465,1,,0,0,2,1,8,2,2,1,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,1,87,19,68,97,70,49,35,40,,,,,,,,,465,1,365,,,,1,,0,0,2,1,8,2,2,1,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,375,2,,0,0,3,2,8,2,2,1,a730m3z7,,,,,,,,0
